N_Name,Class,Direction,Time
N_10627,motorcycle,route_9,574.2972950999999
N_10644,motorcycle,route_9,574.6331155
N_10322,truck,route_10,575.3921596
N_10724,motorcycle,route_9,576.2292666999999
N_10736,motorcycle,route_11,576.5619465
N_10745,motorcycle,route_11,576.7304687
N_10766,motorcycle,route_9,577.2501115
N_10674,car,route_9,578.1134978
N_10818,car,route_9,578.8691616
N_10828,truck,route_9,579.2087554999999
N_10897,motorcycle,route_9,580.994679
N_10899,motorcycle,route_9,581.3427406
N_10917,motorcycle,route_9,581.514241
N_10924,motorcycle,route_9,581.684771
N_10942,car,route_9,582.2687627
N_10771,car,route_10,582.7691139
N_11025,car,route_9,585.3667521
N_11016,car,route_9,585.9517437
N_11078,bus,route_10,586.0353762
N_11103,truck,route_10,586.6156665999999
N_10886,car,route_9,587.9469021
N_11163,truck,route_10,588.3668825999999
N_11172,car,route_9,588.6175777
N_11177,car,route_10,588.9557272
N_11185,car,route_9,589.3806132999999
N_11166,car,route_11,589.463909
N_11128,car,route_9,589.7978939
N_11210,car,route_10,590.6384105
N_11215,car,route_10,590.804044
N_11194,car,route_9,591.0525145
N_11217,car,route_10,591.0525652
N_11243,car,route_9,593.0523724999999
N_11122,car,route_9,593.7179479
N_11307,car,route_9,594.4689105
N_11021,car,route_10,597.1494638
N_11181,bus,route_9,597.9847919
N_11445,truck,route_10,599.576526
N_11533,motorcycle,route_9,602.5026776
N_11541,motorcycle,route_9,602.6731748
N_11550,motorcycle,route_9,602.8449677
N_11604,car,route_9,604.9855094
N_11465,car,route_9,605.4121524999999
N_11683,car,route_9,607.1118076
N_11696,car,route_9,607.6169228
N_11704,car,route_9,607.9516523
N_11705,motorcycle,route_11,607.9516646
N_11724,motorcycle,route_11,608.4571138
N_11731,motorcycle,route_11,608.7098900999999
N_11730,car,route_10,609.0467424999999
N_11736,motorcycle,route_9,609.1294230999999
N_11745,motorcycle,route_11,609.3773452
N_11726,car,route_9,610.7107609
N_11796,motorcycle,route_11,611.0492691
N_11789,car,route_9,611.1324572
N_11728,car,route_9,611.2994120999999
N_11836,car,route_9,612.8971167
N_11844,car,route_9,613.3078905
N_11852,car,route_9,613.8084977
N_11865,car,route_9,614.1374612
N_12031,motorcycle,route_9,619.911152
N_12041,motorcycle,route_9,620.2489755
N_12008,car,route_9,620.5830179999999
N_12148,car,route_10,622.4636495
N_12217,car,route_10,624.176212
N_12225,car,route_9,624.2604735
N_12234,car,route_10,624.4271204
N_12223,motorcycle,route_9,624.5105019
N_12236,car,route_9,624.5105209
N_12242,car,route_9,624.5915279999999
N_12291,car,route_9,625.844557
N_12336,car,route_9,626.9986993
N_12342,motorcycle,route_9,627.1633997
N_12325,truck,route_10,627.7440096
N_12183,car,route_9,627.9974916
N_12406,car,route_9,630.4506774
N_12478,motorcycle,route_9,631.4583825999999
N_12499,car,route_9,632.1294217
N_12509,car,route_9,632.6293706
N_12511,motorcycle,route_9,632.7953742999999
N_12529,car,route_10,633.3772873
N_12472,car,route_9,633.5472464
N_12523,car,route_10,633.8774962
N_12567,car,route_9,634.7212337999999
N_12650,car,route_11,636.4871131
N_12662,motorcycle,route_9,636.985081
N_12680,motorcycle,route_9,637.2336293999999
