S_Name,Class,Direction,Time
S_15374,car,route_3,7471.2684253
S_15375,car,route_3,7471.6323467
S_15381,car,route_3,7472.504897
S_15382,car,route_3,7472.6484665
S_15405,motorcycle,route_3,7476.3494648999995
S_15470,motorcycle,route_5,7482.0995699
S_15473,motorcycle,route_5,7482.5366582
S_15474,car,route_5,7482.6810841999995
S_15535,motorcycle,route_5,7511.0366145
S_15560,motorcycle,route_5,7517.8731848
S_15563,motorcycle,route_5,7518.0896713
S_15564,car,route_3,7520.8524469
S_15588,motorcycle,route_3,7522.2334513
S_15679,car,route_5,7538.1701684
S_15685,car,route_5,7539.1952709
S_15689,car,route_5,7539.6369914
S_15569,car,route_3,7541.6762874
S_15725,car,route_5,7543.1416647
S_15708,car,route_5,7548.7862619
S_15815,car,route_5,7554.1898659
S_16017,car,route_3,7580.3852454
S_16021,car,route_5,7581.1159125
S_16052,car,route_3,7585.7099859
S_16059,bus,route_3,7586.3650531
S_16114,motorcycle,route_3,7599.4184919
S_16109,car,route_5,7599.9940395
S_16113,car,route_5,7602.9675351999995
S_16163,car,route_3,7616.6672450999995
S_16155,truck,route_3,7619.8603705
S_16230,car,route_3,7632.2928784
S_16227,car,route_3,7632.7953506
S_16233,motorcycle,route_3,7633.5207742
S_16234,motorcycle,route_3,7633.8066134
S_16237,motorcycle,route_3,7634.2430346
S_16341,motorcycle,route_4,7723.7842711
S_16331,motorcycle,route_5,7725.0842864999995
S_16405,motorcycle,route_5,7737.1869184
S_16407,motorcycle,route_5,7737.3306053
S_16410,motorcycle,route_5,7737.9134392999995
S_16445,car,route_3,7747.2466673
S_16436,car,route_5,7747.4651566
S_16452,car,route_3,7747.6872816
S_16458,car,route_3,7748.4812796
S_16479,motorcycle,route_3,7750.6567951
S_16572,motorcycle,route_4,7801.9496037
S_16582,motorcycle,route_4,7802.2459517
S_16583,motorcycle,route_4,7802.3940297
S_16584,motorcycle,route_4,7802.5401372999995
